 181500        'PCIU30'   'PCIU90'  'PCIU150'   'PCIL30'   'PCIL90'  'PCIL150'  'PCIU210'  'PCIU270'  'PCIU330'  'PCIL210'  'PCIL270'  'PCIL330'
'MPI4U157  ' -5.549e-08  1.509e-07 -4.789e-08  5.095e-08 -4.508e-08 -1.187e-07
'DSL1U180  '  2.240e-09  6.859e-08 -9.020e-08 -8.183e-08 -4.046e-08 -5.425e-08
'DSL2U180  '  4.033e-08  2.986e-08 -5.342e-08 -1.508e-08 -1.917e-08 -6.854e-08
'DSL3U180  '  1.652e-07  1.243e-08 -1.411e-07 -1.693e-08 -2.679e-08 -4.883e-08
'DSL4U157  '  5.602e-08  7.417e-08 -5.282e-07  8.526e-08 -2.061e-08 -3.769e-08
'MPI5U157  '  3.409e-07  2.457e-07 -5.479e-07  5.021e-07 -3.641e-07 -2.275e-07
'MPI6U157  ' -6.532e-08  1.261e-07 -3.178e-07  2.430e-07 -1.420e-07  2.746e-08
'MPI7U157  '  3.290e-08  1.361e-07 -4.416e-07 -1.113e-07 -1.541e-07 -2.518e-07
'DSL5U157  ' -1.825e-08  8.559e-08 -2.144e-07  1.852e-08 -9.768e-08 -1.228e-07
'DSL6U157  '  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
