 181500        'PCIU30'   'PCIU90'  'PCIU150'   'PCIL30'   'PCIL90'  'PCIL150'  'PCIU210'  'PCIU270'  'PCIU330'  'PCIL210'  'PCIL270'  'PCIL330'
'MPI9A322  ' -1.632e-08 -7.231e-09 -2.737e-09 -8.150e-10  7.003e-09 -6.655e-09  9.837e-09 -2.461e-08 -4.016e-08 -3.422e-09 -4.990e-09  6.964e-09
'MPI79FA322' -1.181e-08 -6.833e-09 -1.902e-09  2.276e-09  1.231e-08 -6.006e-09  1.015e-08 -1.421e-08  6.753e-08  2.953e-09  4.095e-09 -4.603e-09
'MPI79NA322' -1.521e-08 -1.937e-08 -5.605e-09 -1.039e-09  2.150e-08 -7.881e-09  1.700e-08 -2.352e-08  9.432e-08 -1.600e-10  8.900e-09  1.530e-08
'MPI7FA322 ' -4.032e-09 -8.643e-09 -9.163e-09  2.217e-09  1.083e-08 -2.926e-09  4.882e-09 -2.547e-08  1.209e-07  2.203e-09  5.621e-09  4.449e-09
'MPI7NA322 ' -1.108e-09 -1.142e-08 -3.488e-09  3.886e-09  1.878e-08 -2.744e-09  1.302e-08 -5.823e-09  4.170e-08 -5.827e-10  9.667e-09  8.042e-09
'MPI67A322 ' -9.755e-09 -7.582e-09 -1.388e-09 -5.164e-10  5.013e-09 -1.012e-08  1.494e-08 -1.345e-08 -9.368e-10  8.040e-09  1.019e-08 -5.516e-09
'MPI6FA322 ' -1.222e-09 -1.316e-08 -6.285e-09 -9.762e-10  1.134e-08 -2.481e-09  9.666e-09 -1.781e-08 -1.233e-07  4.924e-10  3.193e-10  1.736e-08
'MPI6NA322 ' -4.923e-09  1.687e-09 -7.873e-09 -5.564e-09  1.161e-08 -3.349e-10  1.036e-08 -4.658e-09 -6.510e-09 -3.022e-09  7.431e-09  2.501e-08
'MPI66M322 ' -7.422e-09 -1.442e-08 -1.368e-09  5.576e-09  1.393e-08  2.875e-09  1.422e-08 -1.150e-08 -5.999e-08  5.208e-09  1.048e-08  5.358e-08
'MPI6NB322 '  1.601e-08 -1.125e-08 -1.481e-08 -5.795e-10 -4.876e-09 -1.535e-09 -3.188e-09 -1.241e-08 -4.142e-08  2.451e-08 -3.656e-09  3.669e-09
