 181613      'BTI66M053'
 'MPI3B322  '   -3.44e-03
 'MPI2B322  '   -4.25e-05
 'MPI1B322  '    8.90e-04
 'MPI11M322 '   -7.10e-04
 'MPI1A322  '   -9.85e-04
 'MPI2A322  '    3.75e-03
 'MPI3A322  '   -6.75e-04
 'MPI4A322  '    5.04e-04
 'MPI5A322  '    2.73e-03
 'MPI1U157  '   -9.22e-03
 'MPI2U157  '    3.43e-02
 'MPI3U157  '   -8.09e-02
 'MPI4U157  '   -2.61e-02
 'DSL1U180  '   -1.73e-02
 'DSL2U180  '    6.12e-03
 'DSL3U180  '   -3.72e-03
 'DSL4U157  '    2.95e-03
 'MPI5U157  '   -7.27e-02
 'MPI6U157  '   -3.12e-02
 'MPI7U157  '   -1.12e-02
 'DSL5U157  '    4.39e-03
 'DSL6U157  '   -0.00e+00
 'MPI1L180  '    3.92e-02
 'MPI2L180  '   -9.19e-03
 'MPI3L180  '    2.33e-02
 'PSF1A     '   -1.36e-04
 'PSF2A     '   -8.24e-05
 'PSF3A     '   -1.72e-04
 'PSF4A     '   -1.25e-04
 'PSF5A     '   -2.48e-05
 'PSF6NA    '    1.80e-04
 'PSF7NA    '   -0.00e+00
 'PSF8A     '    2.36e-04
 'PSF9A     '    4.80e-04
 'PSF1B     '    8.11e-05
 'PSF2B     '    1.63e-04
 'PSF3B     '    2.39e-04
 'PSF4B     '    4.33e-04
 'PSF5B     '    6.60e-04
 'PSF6NB    '    6.23e-04
 'PSF7NB    '    3.38e-04
 'PSF8B     '    7.85e-04
 'PSF9B     '    8.53e-04
 'PSI11M    '    3.08e-05
 'PSI12A    '   -4.70e-05
 'PSI23A    '   -2.03e-05
 'PSI34A    '   -8.83e-05
 'PSI45A    '   -5.54e-05
 'PSI58A    '    1.25e-04
 'PSI9A     '    5.41e-04
 'PSF7FA    '    6.96e-04
 'PSI7A     '    6.53e-04
 'PSF6FA    '    3.20e-04
 'PSI6A     '    3.67e-04
 'PSI12B    '    1.15e-04
 'PSI23B    '    1.49e-04
 'PSI34B    '    4.12e-04
 'PSI45B    '    4.91e-04
 'PSI58B    '    7.72e-04
 'PSI9B     '    8.57e-04
 'PSF7FB    '    4.89e-04
 'PSI7B     '    5.39e-04
 'PSF6FB    '    1.92e-04
 'PSI6B     '    7.11e-04
 'PSI89FB   '    7.60e-04
 'PSI89NB   '    7.44e-04
 'PSI1L     '    6.79e-04
 'PSI2L     '    6.49e-04
 'PSI3L     '    6.48e-04
 131045      'BTI66M053 '
 'MPI11M067 '    6.65e-03
 'MPI1A067  '   -0.00e+00
 'MPI2A067  '    1.24e-03
 'MPI3A067  '   -0.00e+00
 'MPI4A067  '   -0.00e+00
 'MPI5A067  '   -0.00e+00
 'MPI8A067  '   -0.00e+00
 'MPI9A067  '   -0.00e+00
 'MPI79A067 '   -0.00e+00
 'MPI7FA067 '   -0.00e+00
 'MPI7NA067 '   -0.00e+00
 'MPI67A067 '   -3.32e-02
 'MPI6FA067 '   -0.00e+00
 'MPI6NA067 '   -0.00e+00
 'MPI66M067 '   -1.75e-02
 'MPI1B067  '   -0.00e+00
 'MPI2B067  '    2.19e-02
 'MPI3B067  '   -0.00e+00
 'MPI4B067  '   -0.00e+00
 'MPI5B067  '   -0.00e+00
 'MPI8B067  '   -0.00e+00
 'MPI89B067 '   -0.00e+00
 'MPI9B067  '   -0.00e+00
 'MPI79B067 '   -0.00e+00
 'MPI7FB067 '   -0.00e+00
 'MPI7NB067 '   -0.00e+00
 'MPI67B067 '    1.70e-02
 'MPI6FB067 '   -0.00e+00
 'MPI6NB067 '   -0.00e+00
 'MPI8A322  '   -6.43e-03
 'MPI89A322 '   -2.28e-03
 'MPI9A322  '    1.93e-03
 'MPI79FA322'    2.44e-03
 'MPI79NA322'    3.11e-03
 'MPI7FA322 '    3.83e-03
 'MPI7NA322 '   -4.43e-04
 'MPI67A322 '    1.22e-03
 'MPI6FA322 '    1.25e-03
 'MPI6NA322 '   -2.72e-04
 'MPI66M322 '    8.00e-04
 'MPI6NB322 '   -1.24e-04
 'MPI6FB322 '   -4.13e-03
 'MPI67B322 '   -4.12e-03
 'MPI7NB322 '   -1.57e-02
 'MPI7FB322 '   -6.60e-04
 'MPI79B322 '    9.19e-04
 'MPI9B322  '    5.72e-03
 'MPI89B322 '   -4.76e-03
 'MPI8B322  '   -4.24e-03
 'MPI5B322  '    2.25e-03
 'MPI4B322  '   -1.24e-02
 'MPI3B322  '    6.30e-03
 'MPI2B322  '   -7.54e-04
 'MPI1B322  '   -9.23e-03
 'MPI11M322 '   -4.48e-04
 'MPI1A322  '   -2.72e-03
 'MPI2A322  '   -4.02e-03
 'MPI3A322  '    9.27e-05
 'MPI4A322  '   -6.13e-05
 'MPI5A322  '    3.18e-03
 'MPI1U157  '   -9.95e-03
 'MPI2U157  '    3.47e-02
 'MPI3U157  '   -7.68e-02
 'MPI4U157  '   -2.49e-02
 'DSL1U180  '   -8.52e-03
 'DSL2U180  '    8.39e-03
 'DSL3U180  '   -2.99e-03
 'DSL4U157  '    5.21e-03
 'MPI5U157  '   -7.53e-02
 'MPI6U157  '   -3.09e-02
 'MPI7U157  '   -2.00e-02
 'DSL5U157  '    6.30e-03
 'DSL6U157  '   -0.00e+00
 'MPI1L180  '    4.70e-02
 'MPI2L180  '   -1.55e-02
 'MPI3L180  '    3.05e-02
 'PSF1A     '   -7.23e-05
 'PSF2A     '   -1.16e-04
 'PSF3A     '   -2.40e-04
 'PSF4A     '   -1.75e-04
 'PSF5A     '    3.33e-06
 'PSF6NA    '    3.19e-04
 'PSF7NA    '   -0.00e+00
 'PSF8A     '    3.60e-04
 'PSF9A     '    9.59e-04
 'PSF1B     '    2.63e-05
 'PSF2B     '    1.57e-04
 'PSF3B     '    3.11e-04
 'PSF4B     '    4.30e-04
 'PSF5B     '    7.83e-04
 'PSF6NB    '    4.74e-04
 'PSF7NB    '    4.00e-04
 'PSF8B     '    1.12e-03
 'PSF9B     '    7.76e-04
 'PSI11M    '    4.74e-05
 'PSI12A    '   -2.02e-04
 'PSI23A    '   -3.26e-04
 'PSI34A    '   -3.90e-04
 'PSI45A    '   -3.48e-04
 'PSI58A    '   -1.04e-04
 'PSI9A     '    4.29e-04
 'PSF7FA    '    7.66e-04
 'PSI7A     '    3.83e-04
 'PSF6FA    '    4.44e-04
 'PSI6A     '    2.85e-04
 'PSI12B    '   -1.18e-04
 'PSI23B    '   -3.60e-05
 'PSI34B    '    2.93e-04
 'PSI45B    '    3.52e-04
 'PSI58B    '    6.54e-04
 'PSI9B     '    8.44e-04
 'PSF7FB    '    3.98e-04
 'PSI7B     '    5.12e-04
 'PSF6FB    '    1.01e-03
 'PSI6B     '    3.74e-04
 'PSI89FB   '    8.50e-04
 'PSI89NB   '    1.08e-03
 'PSI1L     '    1.08e-03
 'PSI2L     '    1.16e-03
 'PSI3L     '    8.23e-04
 127305      'BTI66M053 '
 'MPI11M067 '    9.34e-03
 'MPI1A067  '   -0.00e+00
 'MPI2A067  '    9.89e-04
 'MPI3A067  '   -0.00e+00
 'MPI4A067  '   -0.00e+00
 'MPI5A067  '   -0.00e+00
 'MPI8A067  '   -0.00e+00
 'MPI9A067  '   -0.00e+00
 'MPI79A067 '   -0.00e+00
 'MPI7FA067 '   -0.00e+00
 'MPI7NA067 '   -0.00e+00
 'MPI67A067 '   -3.28e-02
 'MPI6FA067 '   -0.00e+00
 'MPI6NA067 '   -0.00e+00
 'MPI66M067 '   -1.77e-02
 'MPI1B067  '   -0.00e+00
 'MPI2B067  '    1.24e-03
 'MPI3B067  '   -0.00e+00
 'MPI4B067  '   -0.00e+00
 'MPI5B067  '   -0.00e+00
 'MPI8B067  '   -0.00e+00
 'MPI89B067 '   -0.00e+00
 'MPI9B067  '   -0.00e+00
 'MPI79B067 '   -0.00e+00
 'MPI7FB067 '   -0.00e+00
 'MPI7NB067 '   -0.00e+00
 'MPI67B067 '   -3.31e-02
 'MPI6FB067 '   -0.00e+00
 'MPI6NB067 '   -0.00e+00
 'MPI8A322  '    3.02e-02
 'MPI89A322 '   -2.67e-03
 'MPI9A322  '    5.92e-02
 'MPI79FA322'    2.22e-03
 'MPI79NA322'    3.70e-03
 'MPI7FA322 '    4.27e-03
 'MPI7NA322 '   -3.44e-04
 'MPI67A322 '    1.31e-03
 'MPI6FA322 '    8.96e-03
 'MPI6NA322 '   -8.84e-02
 'MPI66M322 '    6.50e-04
 'MPI6NB322 '    5.97e-05
 'MPI6FB322 '   -3.70e-03
 'MPI67B322 '   -4.63e-03
 'MPI7NB322 '   -1.63e-02
 'MPI7FB322 '   -6.90e-04
 'MPI79B322 '    1.35e-03
 'MPI9B322  '    6.68e-03
 'MPI89B322 '   -4.19e-03
 'MPI8B322  '   -4.36e-03
 'MPI5B322  '    2.06e-03
 'MPI4B322  '   -1.27e-02
 'MPI3B322  '    8.76e-03
 'MPI2B322  '    1.63e-03
 'MPI1B322  '   -6.50e-03
 'MPI11M322 '   -1.97e-05
 'MPI1A322  '   -3.09e-03
 'MPI2A322  '    1.69e-02
 'MPI3A322  '    2.35e-02
 'MPI4A322  '    2.98e-03
 'MPI5A322  '   -1.12e-02
 'MPI1U157  '   -9.03e-03
 'MPI2U157  '    3.27e-02
 'MPI3U157  '   -7.79e-02
 'MPI4U157  '   -2.67e-02
 'DSL1U180  '   -1.16e-02
 'DSL2U180  '    6.53e-03
 'DSL3U180  '   -4.58e-03
 'DSL4U157  '    5.96e-03
 'MPI5U157  '   -7.39e-02
 'MPI6U157  '   -3.28e-02
 'MPI7U157  '   -2.08e-02
 'DSL5U157  '    4.48e-03
 'DSL6U157  '   -0.00e+00
 'MPI1L180  '    4.42e-02
 'MPI2L180  '   -1.53e-02
 'MPI3L180  '    2.95e-02
 'PSF1A     '   -5.82e-04
 'PSF2A     '   -4.52e-05
 'PSF3A     '   -1.19e-04
 'PSF4A     '   -1.31e-04
 'PSF5A     '    7.45e-05
 'PSF6NA    '    2.55e-05
 'PSF7NA    '   -0.00e+00
 'PSF8A     '    2.89e-04
 'PSF9A     '    6.14e-04
 'PSF1B     '    2.34e-05
 'PSF2B     '    1.53e-04
 'PSF3B     '    2.46e-04
 'PSF4B     '    6.00e-04
 'PSF5B     '    7.84e-04
 'PSF6NB    '    3.13e-04
 'PSF7NB    '    2.80e-04
 'PSF8B     '    3.96e-04
 'PSF9B     '    9.14e-04
 'PSI11M    '   -2.08e-05
 'PSI12A    '   -1.99e-04
 'PSI23A    '   -6.08e-05
 'PSI34A    '   -2.03e-04
 'PSI45A    '   -1.67e-04
 'PSI58A    '    1.99e-04
 'PSI9A     '    6.00e-04
 'PSF7FA    '    1.01e-03
 'PSI7A     '    6.72e-04
 'PSF6FA    '    1.06e-04
 'PSI6A     '    2.45e-04
 'PSI12B    '   -5.84e-05
 'PSI23B    '    4.64e-05
 'PSI34B    '    3.33e-04
 'PSI45B    '    4.69e-04
 'PSI58B    '    9.75e-04
 'PSI9B     '    9.11e-04
 'PSF7FB    '    3.30e-04
 'PSI7B     '    2.02e-04
 'PSF6FB    '    3.43e-04
 'PSI6B     '    4.13e-04
 'PSI89FB   '    7.47e-04
 'PSI89NB   '    7.68e-04
 'PSI1L     '    5.43e-04
